NEUTRAL TEMPERATURE (DEG K)                                                     
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.16503E+03  0.16490E+03  0.16480E+03  0.16473E+03  0.16470E+03  0.16465E+03
  0.16456E+03  0.16442E+03  0.16423E+03  0.16401E+03  0.16375E+03  0.16347E+03
  0.16317E+03  0.16286E+03  0.16256E+03  0.16226E+03  0.16199E+03  0.16175E+03
  0.16153E+03  0.16135E+03  0.16122E+03  0.16113E+03  0.16111E+03  0.16115E+03
  0.16115E+03  0.16125E+03  0.16142E+03  0.16166E+03  0.16197E+03  0.16232E+03
  0.16271E+03  0.16313E+03  0.16356E+03  0.16399E+03  0.16439E+03  0.16475E+03
  0.16505E+03  0.16526E+03  0.16537E+03  0.16539E+03  0.16529E+03  0.16508E+03
  0.16477E+03  0.16437E+03  0.16395E+03  0.16357E+03  0.16327E+03  0.16305E+03
  0.16291E+03  0.16286E+03  0.16288E+03  0.16297E+03  0.16312E+03  0.16332E+03
  0.16356E+03  0.16383E+03  0.16410E+03  0.16438E+03  0.16465E+03  0.16490E+03
  0.16389E+03  0.16405E+03  0.16417E+03  0.16427E+03  0.16434E+03  0.16436E+03
  0.16435E+03  0.16430E+03  0.16422E+03  0.16410E+03  0.16395E+03  0.16377E+03
  0.16357E+03  0.16335E+03  0.16315E+03  0.16298E+03  0.16287E+03  0.16281E+03
  0.16279E+03  0.16278E+03  0.16278E+03  0.16280E+03  0.16285E+03  0.16292E+03
  0.16301E+03  0.16311E+03  0.16323E+03  0.16337E+03  0.16352E+03  0.16370E+03
  0.16388E+03  0.16408E+03  0.16429E+03  0.16450E+03  0.16474E+03  0.16499E+03
  0.16525E+03  0.16525E+03  0.16553E+03  0.16580E+03  0.16608E+03  0.16634E+03
  0.16657E+03  0.16675E+03  0.16687E+03  0.16691E+03  0.16687E+03  0.16674E+03
  0.16650E+03  0.16616E+03  0.16571E+03  0.16517E+03  0.16458E+03  0.16394E+03
  0.16330E+03  0.16268E+03  0.16211E+03  0.16166E+03  0.16135E+03  0.16119E+03
  0.16115E+03  0.16122E+03  0.16135E+03  0.16153E+03  0.16174E+03  0.16198E+03
  0.16224E+03  0.16250E+03  0.16276E+03  0.16302E+03  0.16327E+03  0.16349E+03
  0.16370E+03  0.16009E+03  0.16006E+03  0.16003E+03  0.16001E+03  0.16000E+03
  0.16001E+03  0.16004E+03  0.16010E+03  0.16018E+03  0.16028E+03  0.16038E+03
  0.16048E+03  0.16056E+03  0.16060E+03  0.16061E+03  0.16060E+03  0.16057E+03
  0.16058E+03  0.16062E+03  0.16070E+03  0.16081E+03  0.16095E+03  0.16112E+03
  0.16133E+03  0.16157E+03  0.16185E+03  0.16215E+03  0.16249E+03  0.16285E+03
  0.16323E+03  0.16361E+03  0.16399E+03  0.16435E+03  0.16469E+03  0.16500E+03
  0.16527E+03  0.16550E+03  0.16550E+03  0.16567E+03  0.16579E+03  0.16584E+03
  0.16582E+03  0.16572E+03  0.16553E+03  0.16527E+03  0.16492E+03  0.16449E+03
  0.16401E+03  0.16347E+03  0.16290E+03  0.16230E+03  0.16170E+03  0.16113E+03
  0.16060E+03  0.16013E+03  0.15975E+03  0.15950E+03  0.15937E+03  0.15936E+03
  0.15942E+03  0.15952E+03  0.15962E+03  0.15972E+03  0.15979E+03  0.15986E+03
  0.15992E+03  0.15998E+03  0.16004E+03  0.16008E+03  0.16011E+03  0.16013E+03
  0.16013E+03  0.16012E+03  0.15690E+03  0.15676E+03  0.15664E+03  0.15654E+03
  0.15648E+03  0.15645E+03  0.15647E+03  0.15654E+03  0.15666E+03  0.15683E+03
  0.15703E+03  0.15724E+03  0.15744E+03  0.15760E+03  0.15769E+03  0.15771E+03
  0.15766E+03  0.15760E+03  0.15759E+03  0.15764E+03  0.15771E+03  0.15779E+03
  0.15786E+03  0.15793E+03  0.15803E+03  0.15815E+03  0.15831E+03  0.15850E+03
  0.15873E+03  0.15898E+03  0.15923E+03  0.15948E+03  0.15971E+03  0.15990E+03
  0.16006E+03  0.16017E+03  0.16022E+03  0.16022E+03  0.16022E+03  0.16014E+03
  0.16001E+03  0.15981E+03  0.15956E+03  0.15925E+03  0.15890E+03  0.15852E+03
  0.15812E+03  0.15773E+03  0.15735E+03  0.15700E+03  0.15669E+03  0.15643E+03
  0.15621E+03  0.15605E+03  0.15597E+03  0.15600E+03  0.15617E+03  0.15646E+03
  0.15680E+03  0.15711E+03  0.15736E+03  0.15753E+03  0.15763E+03  0.15768E+03
  0.15768E+03  0.15766E+03  0.15762E+03  0.15757E+03  0.15749E+03  0.15740E+03
  0.15729E+03  0.15717E+03  0.15703E+03  0.15632E+03  0.15622E+03  0.15614E+03
  0.15606E+03  0.15600E+03  0.15596E+03  0.15594E+03  0.15593E+03  0.15595E+03
  0.15600E+03  0.15608E+03  0.15620E+03  0.15634E+03  0.15648E+03  0.15660E+03
  0.15667E+03  0.15670E+03  0.15673E+03  0.15681E+03  0.15694E+03  0.15706E+03
  0.15712E+03  0.15709E+03  0.15700E+03  0.15687E+03  0.15673E+03  0.15660E+03
  0.15649E+03  0.15640E+03  0.15632E+03  0.15624E+03  0.15618E+03  0.15612E+03
  0.15606E+03  0.15600E+03  0.15592E+03  0.15582E+03  0.15582E+03  0.15571E+03
  0.15558E+03  0.15544E+03  0.15528E+03  0.15511E+03  0.15495E+03  0.15479E+03
  0.15465E+03  0.15453E+03  0.15445E+03  0.15443E+03  0.15446E+03  0.15455E+03
  0.15468E+03  0.15481E+03  0.15494E+03  0.15508E+03  0.15528E+03  0.15557E+03
  0.15594E+03  0.15633E+03  0.15665E+03  0.15689E+03  0.15705E+03  0.15714E+03
  0.15719E+03  0.15719E+03  0.15717E+03  0.15712E+03  0.15705E+03  0.15695E+03
  0.15683E+03  0.15671E+03  0.15658E+03  0.15644E+03  0.15813E+03  0.15813E+03
  0.15815E+03  0.15817E+03  0.15819E+03  0.15819E+03  0.15817E+03  0.15812E+03
  0.15804E+03  0.15796E+03  0.15789E+03  0.15783E+03  0.15782E+03  0.15784E+03
