GEOPOTENTIAL HEIGHT (KM)                                                        
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=150, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.83355E+02  0.83360E+02  0.83366E+02  0.83371E+02  0.83376E+02  0.83380E+02
  0.83382E+02  0.83383E+02  0.83384E+02  0.83383E+02  0.83381E+02  0.83379E+02
  0.83376E+02  0.83372E+02  0.83366E+02  0.83359E+02  0.83352E+02  0.83348E+02
  0.83346E+02  0.83346E+02  0.83346E+02  0.83348E+02  0.83349E+02  0.83351E+02
  0.83353E+02  0.83355E+02  0.83357E+02  0.83360E+02  0.83363E+02  0.83365E+02
  0.83368E+02  0.83370E+02  0.85208E+02  0.85208E+02  0.85208E+02  0.85207E+02
  0.85206E+02  0.85205E+02  0.85203E+02  0.85201E+02  0.85199E+02  0.85197E+02
  0.85194E+02  0.85190E+02  0.85185E+02  0.85179E+02  0.85172E+02  0.85166E+02
  0.85162E+02  0.85161E+02  0.85162E+02  0.85164E+02  0.85165E+02  0.85166E+02
  0.85167E+02  0.85170E+02  0.85175E+02  0.85181E+02  0.85188E+02  0.85194E+02
  0.85200E+02  0.85206E+02  0.85213E+02  0.85219E+02  0.85226E+02  0.85234E+02
  0.85240E+02  0.85247E+02  0.85253E+02  0.85253E+02  0.85259E+02  0.85264E+02
  0.85268E+02  0.85272E+02  0.85274E+02  0.85276E+02  0.85277E+02  0.85277E+02
  0.85274E+02  0.85270E+02  0.85264E+02  0.85257E+02  0.85249E+02  0.85240E+02
  0.85231E+02  0.85222E+02  0.85212E+02  0.85202E+02  0.85193E+02  0.85185E+02
  0.85181E+02  0.85180E+02  0.85181E+02  0.85183E+02  0.85186E+02  0.85188E+02
  0.85190E+02  0.85193E+02  0.85195E+02  0.85198E+02  0.85200E+02  0.85203E+02
  0.85205E+02  0.85206E+02  0.85208E+02  0.87010E+02  0.87008E+02  0.87007E+02
  0.87005E+02  0.87003E+02  0.87001E+02  0.87000E+02  0.86998E+02  0.86998E+02
  0.86998E+02  0.86997E+02  0.86995E+02  0.86992E+02  0.86987E+02  0.86981E+02
  0.86974E+02  0.86969E+02  0.86965E+02  0.86965E+02  0.86967E+02  0.86968E+02
  0.86970E+02  0.86972E+02  0.86976E+02  0.86983E+02  0.86990E+02  0.86998E+02
  0.87007E+02  0.87015E+02  0.87025E+02  0.87034E+02  0.87043E+02  0.87053E+02
  0.87062E+02  0.87070E+02  0.87077E+02  0.87084E+02  0.87084E+02  0.87089E+02
  0.87093E+02  0.87095E+02  0.87095E+02  0.87094E+02  0.87092E+02  0.87089E+02
  0.87084E+02  0.87076E+02  0.87067E+02  0.87058E+02  0.87047E+02  0.87036E+02
  0.87024E+02  0.87014E+02  0.87003E+02  0.86994E+02  0.86985E+02  0.86980E+02
  0.86978E+02  0.86979E+02  0.86983E+02  0.86988E+02  0.86993E+02  0.86997E+02
  0.87000E+02  0.87002E+02  0.87004E+02  0.87006E+02  0.87008E+02  0.87009E+02
  0.87010E+02  0.87011E+02  0.87011E+02  0.87011E+02  0.88806E+02  0.88803E+02
  0.88800E+02  0.88797E+02  0.88794E+02  0.88792E+02  0.88790E+02  0.88789E+02
  0.88789E+02  0.88790E+02  0.88791E+02  0.88791E+02  0.88791E+02  0.88789E+02
  0.88785E+02  0.88781E+02  0.88776E+02  0.88773E+02  0.88774E+02  0.88776E+02
  0.88778E+02  0.88780E+02  0.88781E+02  0.88782E+02  0.88786E+02  0.88791E+02
  0.88797E+02  0.88804E+02  0.88812E+02  0.88820E+02  0.88828E+02  0.88837E+02
  0.88846E+02  0.88854E+02  0.88862E+02  0.88868E+02  0.88873E+02  0.88873E+02
  0.88877E+02  0.88879E+02  0.88879E+02  0.88878E+02  0.88874E+02  0.88870E+02
  0.88865E+02  0.88858E+02  0.88849E+02  0.88839E+02  0.88830E+02  0.88820E+02
  0.88811E+02  0.88802E+02  0.88794E+02  0.88787E+02  0.88780E+02  0.88775E+02
  0.88773E+02  0.88776E+02  0.88782E+02  0.88789E+02  0.88796E+02  0.88802E+02
  0.88807E+02  0.88810E+02  0.88811E+02  0.88812E+02  0.88813E+02  0.88814E+02
  0.88814E+02  0.88813E+02  0.88813E+02  0.88811E+02  0.88809E+02  0.90624E+02
  0.90621E+02  0.90618E+02  0.90615E+02  0.90612E+02  0.90609E+02  0.90606E+02
  0.90604E+02  0.90602E+02  0.90602E+02  0.90601E+02  0.90600E+02  0.90599E+02
  0.90596E+02  0.90593E+02  0.90589E+02  0.90585E+02  0.90583E+02  0.90587E+02
  0.90593E+02  0.90599E+02  0.90602E+02  0.90604E+02  0.90606E+02  0.90608E+02
  0.90610E+02  0.90613E+02  0.90617E+02  0.90620E+02  0.90624E+02  0.90629E+02
  0.90633E+02  0.90638E+02  0.90643E+02  0.90648E+02  0.90651E+02  0.90654E+02
  0.90654E+02  0.90656E+02  0.90657E+02  0.90656E+02  0.90655E+02  0.90652E+02
  0.90648E+02  0.90644E+02  0.90639E+02  0.90632E+02  0.90624E+02  0.90617E+02
  0.90610E+02  0.90604E+02  0.90598E+02  0.90592E+02  0.90585E+02  0.90579E+02
  0.90575E+02  0.90575E+02  0.90580E+02  0.90590E+02  0.90601E+02  0.90611E+02
  0.90619E+02  0.90626E+02  0.90630E+02  0.90633E+02  0.90635E+02  0.90637E+02
  0.90637E+02  0.90636E+02  0.90635E+02  0.90633E+02  0.90630E+02  0.90627E+02
  0.92473E+02  0.92471E+02  0.92469E+02  0.92467E+02  0.92465E+02  0.92463E+02
  0.92461E+02  0.92458E+02  0.92456E+02  0.92454E+02  0.92452E+02  0.92451E+02
  0.92448E+02  0.92446E+02  0.92443E+02  0.92439E+02  0.92435E+02  0.92436E+02
  0.92443E+02  0.92455E+02  0.92467E+02  0.92476E+02  0.92483E+02  0.92489E+02
  0.92495E+02  0.92500E+02  0.92505E+02  0.92509E+02  0.92512E+02  0.92515E+02
  0.92517E+02  0.92518E+02  0.92520E+02  0.92522E+02  0.92523E+02  0.92524E+02
  0.92524E+02  0.92524E+02  0.92524E+02  0.92523E+02  0.92522E+02  0.92519E+02
  0.92516E+02  0.92512E+02  0.92508E+02  0.92502E+02  0.92494E+02  0.92486E+02
  0.92477E+02  0.92469E+02  0.92461E+02  0.92454E+02  0.92446E+02  0.92438E+02
  0.92430E+02  0.92424E+02  0.92423E+02  0.92430E+02  0.92440E+02  0.92452E+02
  0.92462E+02  0.92470E+02  0.92476E+02  0.92480E+02  0.92483E+02  0.92484E+02
  0.92485E+02  0.92485E+02  0.92484E+02  0.92482E+02  0.92480E+02  0.92478E+02
  0.92475E+02  0.94356E+02  0.94355E+02  0.94355E+02  0.94354E+02  0.94353E+02
  0.94352E+02  0.94351E+02  0.94349E+02  0.94348E+02  0.94347E+02  0.94348E+02
  0.94348E+02  0.94349E+02  0.94350E+02  0.94350E+02  0.94348E+02  0.94346E+02
  0.94347E+02  0.94354E+02  0.94368E+02  0.94381E+02  0.94393E+02  0.94403E+02
  0.94412E+02  0.94421E+02  0.94431E+02  0.94440E+02  0.94448E+02  0.94455E+02
  0.94461E+02  0.94466E+02  0.94469E+02  0.94472E+02  0.94473E+02  0.94474E+02
  0.94474E+02  0.94472E+02  0.94472E+02  0.94469E+02  0.94465E+02  0.94460E+02
  0.94454E+02  0.94446E+02  0.94438E+02  0.94429E+02  0.94419E+02  0.94407E+02
  0.94395E+02  0.94384E+02  0.94375E+02  0.94367E+02  0.94360E+02  0.94354E+02
  0.94348E+02  0.94341E+02  0.94336E+02  0.94337E+02  0.94343E+02  0.94352E+02
  0.94360E+02  0.94365E+02  0.94368E+02  0.94368E+02  0.94368E+02  0.94367E+02
  0.94366E+02  0.94365E+02  0.94364E+02  0.94362E+02  0.94361E+02  0.94360E+02
  0.94358E+02  0.94357E+02  0.96296E+02  0.96296E+02  0.96297E+02  0.96298E+02
  0.96298E+02  0.96299E+02  0.96300E+02  0.96301E+02  0.96303E+02  0.96306E+02
  0.96311E+02  0.96317E+02  0.96323E+02  0.96330E+02  0.96335E+02  0.96335E+02
  0.96332E+02  0.96330E+02  0.96334E+02  0.96343E+02  0.96353E+02  0.96361E+02
  0.96367E+02  0.96374E+02  0.96381E+02  0.96390E+02  0.96399E+02  0.96409E+02
  0.96419E+02  0.96427E+02  0.96434E+02  0.96440E+02  0.96445E+02  0.96447E+02
  0.96448E+02  0.96447E+02  0.96444E+02  0.96444E+02  0.96438E+02  0.96431E+02
  0.96421E+02  0.96410E+02  0.96398E+02  0.96386E+02  0.96374E+02  0.96361E+02
  0.96348E+02  0.96337E+02  0.96329E+02  0.96324E+02  0.96322E+02  0.96322E+02
  0.96323E+02  0.96324E+02  0.96323E+02  0.96322E+02  0.96326E+02  0.96333E+02
  0.96341E+02  0.96344E+02  0.96342E+02  0.96336E+02  0.96328E+02  0.96321E+02
  0.96315E+02  0.96310E+02  0.96306E+02  0.96303E+02  0.96301E+02  0.96299E+02
  0.96298E+02  0.96297E+02  0.96296E+02  0.98330E+02  0.98331E+02  0.98332E+02
  0.98335E+02  0.98338E+02  0.98342E+02  0.98346E+02  0.98350E+02  0.98355E+02
  0.98362E+02  0.98370E+02  0.98379E+02  0.98388E+02  0.98395E+02  0.98399E+02
  0.98396E+02  0.98386E+02  0.98376E+02  0.98373E+02  0.98377E+02  0.98383E+02
  0.98389E+02  0.98395E+02  0.98402E+02  0.98410E+02  0.98419E+02  0.98429E+02
  0.98440E+02  0.98451E+02  0.98461E+02  0.98470E+02  0.98478E+02  0.98484E+02
  0.98488E+02  0.98489E+02  0.98488E+02  0.98483E+02  0.98483E+02  0.98476E+02
