NEUTRAL TEMPERATURE (DEG K)                                                     
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=200, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.16119E+03  0.16114E+03  0.16107E+03  0.16101E+03  0.16094E+03  0.16086E+03
  0.16076E+03  0.16063E+03  0.16047E+03  0.16028E+03  0.16007E+03  0.15988E+03
  0.15974E+03  0.15968E+03  0.15969E+03  0.15978E+03  0.15992E+03  0.16013E+03
  0.16039E+03  0.16071E+03  0.16106E+03  0.16145E+03  0.16187E+03  0.16231E+03
  0.16277E+03  0.16322E+03  0.16366E+03  0.16408E+03  0.16447E+03  0.16483E+03
  0.16514E+03  0.16539E+03  0.16539E+03  0.16558E+03  0.16570E+03  0.16573E+03
  0.16568E+03  0.16554E+03  0.16529E+03  0.16495E+03  0.16451E+03  0.16399E+03
  0.16340E+03  0.16277E+03  0.16211E+03  0.16145E+03  0.16084E+03  0.16030E+03
  0.15985E+03  0.15953E+03  0.15936E+03  0.15934E+03  0.15947E+03  0.15972E+03
  0.16001E+03  0.16031E+03  0.16057E+03  0.16078E+03  0.16093E+03  0.16104E+03
  0.16111E+03  0.16116E+03  0.16120E+03  0.16123E+03  0.16126E+03  0.16129E+03
  0.16131E+03  0.16133E+03  0.15746E+03  0.15733E+03  0.15721E+03  0.15710E+03
  0.15701E+03  0.15695E+03  0.15692E+03  0.15693E+03  0.15698E+03  0.15707E+03
  0.15717E+03  0.15727E+03  0.15732E+03  0.15732E+03  0.15722E+03  0.15701E+03
  0.15673E+03  0.15644E+03  0.15621E+03  0.15606E+03  0.15599E+03  0.15597E+03
  0.15601E+03  0.15610E+03  0.15627E+03  0.15651E+03  0.15684E+03  0.15722E+03
  0.15766E+03  0.15812E+03  0.15859E+03  0.15904E+03  0.15946E+03  0.15982E+03
  0.16011E+03  0.16032E+03  0.16043E+03  0.16043E+03  0.16044E+03  0.16035E+03
  0.16015E+03  0.15985E+03  0.15946E+03  0.15901E+03  0.15851E+03  0.15798E+03
  0.15746E+03  0.15698E+03  0.15659E+03  0.15630E+03  0.15614E+03  0.15610E+03
  0.15619E+03  0.15637E+03  0.15665E+03  0.15703E+03  0.15750E+03  0.15800E+03
  0.15847E+03  0.15882E+03  0.15902E+03  0.15909E+03  0.15904E+03  0.15891E+03
  0.15874E+03  0.15856E+03  0.15839E+03  0.15823E+03  0.15809E+03  0.15796E+03
  0.15784E+03  0.15771E+03  0.15759E+03  0.15603E+03  0.15594E+03  0.15585E+03
  0.15576E+03  0.15570E+03  0.15565E+03  0.15562E+03  0.15562E+03  0.15565E+03
  0.15572E+03  0.15583E+03  0.15595E+03  0.15608E+03  0.15618E+03  0.15622E+03
  0.15617E+03  0.15603E+03  0.15585E+03  0.15569E+03  0.15556E+03  0.15542E+03
  0.15523E+03  0.15499E+03  0.15474E+03  0.15451E+03  0.15433E+03  0.15422E+03
  0.15419E+03  0.15422E+03  0.15429E+03  0.15440E+03  0.15452E+03  0.15464E+03
  0.15474E+03  0.15482E+03  0.15485E+03  0.15484E+03  0.15484E+03  0.15477E+03
  0.15465E+03  0.15450E+03  0.15433E+03  0.15415E+03  0.15399E+03  0.15388E+03
  0.15383E+03  0.15388E+03  0.15404E+03  0.15434E+03  0.15477E+03  0.15529E+03
  0.15587E+03  0.15645E+03  0.15696E+03  0.15738E+03  0.15772E+03  0.15802E+03
  0.15827E+03  0.15841E+03  0.15840E+03  0.15825E+03  0.15802E+03  0.15774E+03
  0.15746E+03  0.15720E+03  0.15699E+03  0.15682E+03  0.15668E+03  0.15656E+03
  0.15645E+03  0.15635E+03  0.15625E+03  0.15614E+03  0.15726E+03  0.15723E+03
  0.15721E+03  0.15719E+03  0.15717E+03  0.15715E+03  0.15713E+03  0.15710E+03
  0.15708E+03  0.15708E+03  0.15712E+03  0.15719E+03  0.15731E+03  0.15747E+03
  0.15764E+03  0.15779E+03  0.15790E+03  0.15801E+03  0.15815E+03  0.15831E+03
  0.15841E+03  0.15838E+03  0.15823E+03  0.15797E+03  0.15764E+03  0.15727E+03
  0.15690E+03  0.15652E+03  0.15617E+03  0.15583E+03  0.15551E+03  0.15523E+03
  0.15500E+03  0.15481E+03  0.15467E+03  0.15458E+03  0.15454E+03  0.15454E+03
  0.15455E+03  0.15462E+03  0.15475E+03  0.15497E+03  0.15527E+03  0.15566E+03
  0.15613E+03  0.15666E+03  0.15725E+03  0.15787E+03  0.15850E+03  0.15910E+03
  0.15962E+03  0.16003E+03  0.16027E+03  0.16030E+03  0.16013E+03  0.15985E+03
  0.15953E+03  0.15923E+03  0.15892E+03  0.15859E+03  0.15825E+03  0.15795E+03
  0.15771E+03  0.15755E+03  0.15745E+03  0.15741E+03  0.15741E+03  0.15742E+03
  0.15741E+03  0.15740E+03  0.15737E+03  0.15734E+03  0.15729E+03  0.16019E+03
  0.16023E+03  0.16027E+03  0.16031E+03  0.16035E+03  0.16038E+03  0.16042E+03
  0.16044E+03  0.16046E+03  0.16051E+03  0.16060E+03  0.16076E+03  0.16098E+03
  0.16128E+03  0.16162E+03  0.16196E+03  0.16227E+03  0.16259E+03  0.16295E+03
  0.16333E+03  0.16368E+03  0.16393E+03  0.16406E+03  0.16408E+03  0.16401E+03
  0.16386E+03  0.16366E+03  0.16341E+03  0.16312E+03  0.16281E+03  0.16249E+03
  0.16218E+03  0.16191E+03  0.16169E+03  0.16155E+03  0.16149E+03  0.16152E+03
  0.16152E+03  0.16164E+03  0.16184E+03  0.16214E+03  0.16252E+03  0.16296E+03
  0.16343E+03  0.16390E+03  0.16434E+03  0.16472E+03  0.16501E+03  0.16520E+03
  0.16525E+03  0.16516E+03  0.16492E+03  0.16452E+03  0.16396E+03  0.16330E+03
  0.16261E+03  0.16200E+03  0.16148E+03  0.16105E+03  0.16064E+03  0.16028E+03
  0.15999E+03  0.15981E+03  0.15972E+03  0.15971E+03  0.15976E+03  0.15984E+03
  0.15992E+03  0.15999E+03  0.16004E+03  0.16009E+03  0.16013E+03  0.16016E+03
  0.16451E+03  0.16455E+03  0.16461E+03  0.16467E+03  0.16475E+03  0.16484E+03
  0.16495E+03  0.16507E+03  0.16522E+03  0.16541E+03  0.16567E+03  0.16600E+03
  0.16641E+03  0.16688E+03  0.16735E+03  0.16776E+03  0.16807E+03  0.16831E+03
  0.16855E+03  0.16882E+03  0.16907E+03  0.16929E+03  0.16945E+03  0.16958E+03
  0.16966E+03  0.16969E+03  0.16970E+03  0.16969E+03  0.16967E+03  0.16963E+03
  0.16958E+03  0.16952E+03  0.16946E+03  0.16942E+03  0.16940E+03  0.16941E+03
  0.16946E+03  0.16946E+03  0.16953E+03  0.16962E+03  0.16972E+03  0.16983E+03
  0.16991E+03  0.16996E+03  0.16994E+03  0.16985E+03  0.16969E+03  0.16946E+03
  0.16915E+03  0.16878E+03  0.16835E+03  0.16788E+03  0.16739E+03  0.16691E+03
  0.16646E+03  0.16609E+03  0.16584E+03  0.16567E+03  0.16550E+03  0.16528E+03
  0.16501E+03  0.16474E+03  0.16454E+03  0.16440E+03  0.16433E+03  0.16430E+03
  0.16431E+03  0.16434E+03  0.16437E+03  0.16439E+03  0.16442E+03  0.16445E+03
  0.16447E+03  0.17104E+03  0.17105E+03  0.17109E+03  0.17117E+03  0.17127E+03
  0.17141E+03  0.17158E+03  0.17176E+03  0.17196E+03  0.17219E+03  0.17246E+03
  0.17277E+03  0.17310E+03  0.17344E+03  0.17372E+03  0.17387E+03  0.17387E+03
  0.17381E+03  0.17379E+03  0.17388E+03  0.17406E+03  0.17430E+03  0.17457E+03
  0.17484E+03  0.17509E+03  0.17530E+03  0.17548E+03  0.17564E+03  0.17581E+03
  0.17597E+03  0.17611E+03  0.17623E+03  0.17632E+03  0.17637E+03  0.17640E+03
  0.17640E+03  0.17635E+03  0.17635E+03  0.17625E+03  0.17610E+03  0.17590E+03
  0.17565E+03  0.17532E+03  0.17493E+03  0.17448E+03  0.17398E+03  0.17346E+03
  0.17293E+03  0.17240E+03  0.17188E+03  0.17139E+03  0.17097E+03  0.17067E+03
  0.17053E+03  0.17056E+03  0.17077E+03  0.17116E+03  0.17163E+03  0.17205E+03
  0.17229E+03  0.17236E+03  0.17233E+03  0.17225E+03  0.17214E+03  0.17202E+03
  0.17190E+03  0.17178E+03  0.17165E+03  0.17151E+03  0.17137E+03  0.17125E+03
  0.17115E+03  0.17108E+03  0.18024E+03  0.18018E+03  0.18012E+03  0.18004E+03
  0.17997E+03  0.17990E+03  0.17982E+03  0.17973E+03  0.17962E+03  0.17951E+03
  0.17939E+03  0.17923E+03  0.17904E+03  0.17879E+03  0.17842E+03  0.17790E+03
  0.17726E+03  0.17668E+03  0.17634E+03  0.17634E+03  0.17665E+03  0.17718E+03
  0.17786E+03  0.17863E+03  0.17940E+03  0.18011E+03  0.18074E+03  0.18132E+03
  0.18187E+03  0.18239E+03  0.18286E+03  0.18328E+03  0.18360E+03  0.18382E+03
  0.18394E+03  0.18394E+03  0.18382E+03  0.18382E+03  0.18356E+03  0.18317E+03
  0.18266E+03  0.18204E+03  0.18131E+03  0.18050E+03  0.17962E+03  0.17874E+03
  0.17786E+03  0.17701E+03  0.17618E+03  0.17538E+03  0.17464E+03  0.17404E+03
  0.17366E+03  0.17355E+03  0.17377E+03  0.17433E+03  0.17524E+03  0.17636E+03
  0.17747E+03  0.17840E+03  0.17908E+03  0.17956E+03  0.17991E+03  0.18015E+03
  0.18030E+03  0.18040E+03  0.18046E+03  0.18048E+03  0.18047E+03  0.18043E+03
  0.18039E+03  0.18035E+03  0.18030E+03  0.18943E+03  0.18937E+03  0.18915E+03
  0.18878E+03  0.18829E+03  0.18772E+03  0.18707E+03  0.18636E+03  0.18562E+03
  0.18486E+03  0.18408E+03  0.18324E+03  0.18233E+03  0.18133E+03  0.18020E+03
  0.17893E+03  0.17764E+03  0.17660E+03  0.17606E+03  0.17615E+03  0.17680E+03
  0.17785E+03  0.17919E+03  0.18068E+03  0.18219E+03  0.18362E+03  0.18492E+03
  0.18609E+03  0.18715E+03  0.18813E+03  0.18903E+03  0.18983E+03  0.19049E+03
  0.19100E+03  0.19133E+03  0.19146E+03  0.19135E+03  0.19135E+03  0.19098E+03
  0.19038E+03  0.18958E+03  0.18863E+03  0.18754E+03  0.18635E+03  0.18511E+03
  0.18386E+03  0.18260E+03  0.18133E+03  0.18003E+03  0.17872E+03  0.17744E+03
  0.17631E+03  0.17543E+03  0.17491E+03  0.17482E+03  0.17526E+03  0.17628E+03
  0.17772E+03  0.17931E+03  0.18079E+03  0.18203E+03  0.18307E+03  0.18394E+03
  0.18469E+03  0.18537E+03  0.18600E+03  0.18663E+03  0.18723E+03  0.18779E+03
  0.18831E+03  0.18876E+03  0.18912E+03  0.18935E+03  0.19414E+03  0.19417E+03
  0.19394E+03  0.19345E+03  0.19275E+03  0.19189E+03  0.19090E+03  0.18981E+03
  0.18868E+03  0.18751E+03  0.18630E+03  0.18502E+03  0.18364E+03  0.18213E+03
  0.18050E+03  0.17876E+03  0.17713E+03  0.17596E+03  0.17557E+03  0.17608E+03
  0.17734E+03  0.17914E+03  0.18125E+03  0.18348E+03  0.18569E+03  0.18775E+03
  0.18960E+03  0.19123E+03  0.19267E+03  0.19395E+03  0.19510E+03  0.19612E+03
  0.19699E+03  0.19769E+03  0.19819E+03  0.19844E+03  0.19838E+03  0.19838E+03
  0.19799E+03  0.19730E+03  0.19639E+03  0.19530E+03  0.19409E+03  0.19278E+03
  0.19142E+03  0.19001E+03  0.18853E+03  0.18695E+03  0.18524E+03  0.18342E+03
  0.18154E+03  0.17969E+03  0.17799E+03  0.17660E+03  0.17570E+03  0.17550E+03
  0.17610E+03  0.17740E+03  0.17908E+03  0.18079E+03  0.18232E+03  0.18365E+03
  0.18483E+03  0.18588E+03  0.18685E+03  0.18782E+03  0.18880E+03  0.18980E+03
  0.19079E+03  0.19174E+03  0.19260E+03  0.19333E+03  0.19385E+03  0.19277E+03
  0.19295E+03  0.19289E+03  0.19259E+03  0.19208E+03  0.19142E+03  0.19062E+03
  0.18972E+03  0.18875E+03  0.18771E+03  0.18659E+03  0.18535E+03  0.18394E+03
  0.18238E+03  0.18068E+03  0.17892E+03  0.17737E+03  0.17646E+03  0.17656E+03
  0.17776E+03  0.17981E+03  0.18240E+03  0.18523E+03  0.18808E+03  0.19081E+03
  0.19333E+03  0.19561E+03  0.19764E+03  0.19943E+03  0.20099E+03  0.20232E+03
  0.20345E+03  0.20438E+03  0.20512E+03  0.20566E+03  0.20594E+03  0.20593E+03
  0.20593E+03  0.20560E+03  0.20499E+03  0.20415E+03  0.20316E+03  0.20203E+03
  0.20075E+03  0.19935E+03  0.19779E+03  0.19608E+03  0.19419E+03  0.19213E+03
  0.18987E+03  0.18744E+03  0.18488E+03  0.18231E+03  0.17990E+03  0.17793E+03
  0.17673E+03  0.17654E+03  0.17732E+03  0.17871E+03  0.18028E+03  0.18175E+03
  0.18306E+03  0.18418E+03  0.18514E+03  0.18598E+03  0.18679E+03  0.18761E+03
  0.18846E+03  0.18933E+03  0.19020E+03  0.19104E+03  0.19179E+03  0.19238E+03
  0.18580E+03  0.18610E+03  0.18632E+03  0.18645E+03  0.18649E+03  0.18646E+03
  0.18635E+03  0.18613E+03  0.18581E+03  0.18539E+03  0.18481E+03  0.18401E+03
  0.18298E+03  0.18173E+03  0.18032E+03  0.17886E+03  0.17770E+03  0.17735E+03
  0.17824E+03  0.18038E+03  0.18340E+03  0.18686E+03  0.19043E+03  0.19391E+03
  0.19718E+03  0.20020E+03  0.20296E+03  0.20548E+03  0.20773E+03  0.20970E+03
  0.21134E+03  0.21265E+03  0.21367E+03  0.21443E+03  0.21497E+03  0.21528E+03
  0.21532E+03  0.21532E+03  0.21508E+03  0.21459E+03  0.21390E+03  0.21302E+03
  0.21194E+03  0.21061E+03  0.20900E+03  0.20712E+03  0.20500E+03  0.20267E+03
  0.20012E+03  0.19733E+03  0.19426E+03  0.19094E+03  0.18745E+03  0.18394E+03
  0.18074E+03  0.17830E+03  0.17706E+03  0.17706E+03  0.17792E+03  0.17912E+03
  0.18031E+03  0.18135E+03  0.18218E+03  0.18277E+03  0.18316E+03  0.18344E+03
  0.18368E+03  0.18391E+03  0.18415E+03  0.18443E+03  0.18477E+03  0.18513E+03
  0.18548E+03  0.17458E+03  0.17488E+03  0.17536E+03  0.17597E+03  0.17670E+03
  0.17752E+03  0.17836E+03  0.17912E+03  0.17977E+03  0.18029E+03  0.18059E+03
  0.18056E+03  0.18020E+03  0.17952E+03  0.17857E+03  0.17748E+03  0.17665E+03
  0.17678E+03  0.17842E+03  0.18157E+03  0.18570E+03  0.19024E+03  0.19477E+03
  0.19912E+03  0.20317E+03  0.20690E+03  0.21032E+03  0.21348E+03  0.21640E+03
  0.21899E+03  0.22119E+03  0.22295E+03  0.22431E+03  0.22532E+03  0.22603E+03
  0.22647E+03  0.22660E+03  0.22660E+03  0.22639E+03  0.22588E+03  0.22512E+03
  0.22409E+03  0.22275E+03  0.22103E+03  0.21892E+03  0.21645E+03  0.21370E+03
  0.21071E+03  0.20746E+03  0.20390E+03  0.19997E+03  0.19566E+03  0.19105E+03
  0.18628E+03  0.18175E+03  0.17808E+03  0.17585E+03  0.17518E+03  0.17561E+03
  0.17647E+03  0.17730E+03  0.17794E+03  0.17832E+03  0.17836E+03  0.17811E+03
  0.17765E+03  0.17710E+03  0.17649E+03  0.17587E+03  0.17531E+03  0.17489E+03
  0.17462E+03  0.17450E+03  0.16102E+03  0.16120E+03  0.16176E+03  0.16264E+03
  0.16384E+03  0.16534E+03  0.16703E+03  0.16876E+03  0.17049E+03  0.17215E+03
  0.17359E+03  0.17467E+03  0.17532E+03  0.17558E+03  0.17543E+03  0.17496E+03
  0.17467E+03  0.17541E+03  0.17785E+03  0.18199E+03  0.18718E+03  0.19269E+03
  0.19808E+03  0.20319E+03  0.20792E+03  0.21227E+03  0.21629E+03  0.22006E+03
  0.22358E+03  0.22667E+03  0.22927E+03  0.23139E+03  0.23304E+03  0.23429E+03
  0.23521E+03  0.23579E+03  0.23600E+03  0.23600E+03  0.23580E+03  0.23523E+03
  0.23435E+03  0.23315E+03  0.23158E+03  0.22956E+03  0.22708E+03  0.22400E+03
  0.22063E+03  0.21702E+03  0.21314E+03  0.20890E+03  0.20422E+03  0.19907E+03
  0.19347E+03  0.18757E+03  0.18179E+03  0.17689E+03  0.17366E+03  0.17226E+03
  0.17214E+03  0.17247E+03  0.17272E+03  0.17272E+03  0.17238E+03  0.17166E+03
