GEOPOTENTIAL HEIGHT (KM)                                                        
UT= 0.00 LAT=    2.50 (DEG)                                                     
VTGCM (DAY,HR,MIN=300, 0, 0)                                                    
Frame    1                                                                      
nx=  73 xx  LONGITUDE (DEG)                         
  0.87592E+02  0.87588E+02  0.87583E+02  0.87583E+02  0.87577E+02  0.87571E+02
  0.87563E+02  0.87554E+02  0.87545E+02  0.87536E+02  0.87527E+02  0.87517E+02
  0.87508E+02  0.87499E+02  0.87491E+02  0.87485E+02  0.87480E+02  0.87478E+02
  0.87479E+02  0.87481E+02  0.87484E+02  0.87486E+02  0.87489E+02  0.87494E+02
  0.87503E+02  0.87516E+02  0.87530E+02  0.87543E+02  0.87554E+02  0.87561E+02
  0.87566E+02  0.87568E+02  0.87568E+02  0.87567E+02  0.87564E+02  0.87561E+02
  0.87557E+02  0.87553E+02  0.87548E+02  0.89600E+02  0.89593E+02  0.89587E+02
  0.89581E+02  0.89576E+02  0.89572E+02  0.89570E+02  0.89569E+02  0.89569E+02
  0.89572E+02  0.89574E+02  0.89576E+02  0.89575E+02  0.89574E+02  0.89572E+02
  0.89572E+02  0.89577E+02  0.89589E+02  0.89606E+02  0.89625E+02  0.89643E+02
  0.89658E+02  0.89671E+02  0.89682E+02  0.89690E+02  0.89697E+02  0.89700E+02
  0.89700E+02  0.89698E+02  0.89695E+02  0.89690E+02  0.89685E+02  0.89679E+02
  0.89673E+02  0.89666E+02  0.89659E+02  0.89651E+02  0.89651E+02  0.89642E+02
  0.89632E+02  0.89622E+02  0.89611E+02  0.89601E+02  0.89590E+02  0.89580E+02
  0.89570E+02  0.89560E+02  0.89549E+02  0.89540E+02  0.89531E+02  0.89523E+02
  0.89516E+02  0.89511E+02  0.89508E+02  0.89505E+02  0.89504E+02  0.89507E+02
  0.89517E+02  0.89533E+02  0.89554E+02  0.89576E+02  0.89595E+02  0.89611E+02
  0.89622E+02  0.89629E+02  0.89633E+02  0.89634E+02  0.89632E+02  0.89629E+02
  0.89625E+02  0.89620E+02  0.89613E+02  0.89607E+02  0.91674E+02  0.91668E+02
  0.91660E+02  0.91651E+02  0.91641E+02  0.91630E+02  0.91619E+02  0.91608E+02
  0.91598E+02  0.91591E+02  0.91585E+02  0.91581E+02  0.91577E+02  0.91574E+02
  0.91571E+02  0.91571E+02  0.91576E+02  0.91590E+02  0.91611E+02  0.91637E+02
  0.91662E+02  0.91684E+02  0.91704E+02  0.91721E+02  0.91736E+02  0.91749E+02
  0.91759E+02  0.91767E+02  0.91771E+02  0.91773E+02  0.91774E+02  0.91772E+02
  0.91769E+02  0.91765E+02  0.91759E+02  0.91751E+02  0.91743E+02  0.91743E+02
  0.91733E+02  0.91722E+02  0.91710E+02  0.91698E+02  0.91685E+02  0.91672E+02
  0.91659E+02  0.91646E+02  0.91632E+02  0.91618E+02  0.91606E+02  0.91594E+02
  0.91584E+02  0.91575E+02  0.91569E+02  0.91564E+02  0.91561E+02  0.91561E+02
  0.91567E+02  0.91581E+02  0.91601E+02  0.91623E+02  0.91644E+02  0.91661E+02
  0.91674E+02  0.91682E+02  0.91687E+02  0.91689E+02  0.91690E+02  0.91690E+02
  0.91690E+02  0.91689E+02  0.91687E+02  0.91684E+02  0.91679E+02  0.93744E+02
  0.93741E+02  0.93735E+02  0.93727E+02  0.93715E+02  0.93700E+02  0.93683E+02
  0.93664E+02  0.93645E+02  0.93628E+02  0.93614E+02  0.93602E+02  0.93592E+02
  0.93585E+02  0.93582E+02  0.93582E+02  0.93589E+02  0.93605E+02  0.93633E+02
